,Unnamed: 0,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
104,104.0,50.0,7.0,11.0,6.0,8.0,3.0,2.0,10.0,38.0,14.0,1.0,9.0,16.0,2.5,6
105,105.0,51.0,4.0,14.0,7.0,10.0,3.0,1.0,7.0,53.0,28.0,4.0,9.0,8.0,2.5,6
106,106.0,52.0,7.0,8.0,5.0,7.0,6.0,2.0,6.0,51.0,23.0,7.0,11.0,13.0,2.5,6
107,107.0,53.0,5.0,5.0,10.0,5.0,7.0,6.0,10.0,47.0,17.0,3.0,13.0,9.0,2.5,6
108,108.0,54.0,6.0,10.0,6.0,12.0,1.0,2.0,9.0,51.0,26.0,2.0,7.0,7.0,2.5,6
109,109.0,55.0,3.0,15.0,5.0,4.0,5.0,1.0,8.0,61.0,29.0,7.0,4.0,10.0,2.5,6
110,110.0,1.0,1.0,3.0,8.0,6.0,7.0,11.0,9.0,61.0,23.0,11.0,5.0,2.0,2.0,7
111,111.0,2.0,3.0,8.0,10.0,4.0,12.0,7.0,12.0,63.0,27.0,5.0,4.0,4.0,2.0,7
112,112.0,3.0,4.0,7.0,12.0,3.0,9.0,2.0,7.0,65.0,26.0,13.0,2.0,7.0,2.0,7
113,113.0,4.0,4.0,4.0,7.0,6.0,10.0,1.0,9.0,49.0,24.0,7.0,9.0,7.0,2.0,7
114,114.0,5.0,4.0,11.0,7.0,2.0,6.0,5.0,12.0,68.0,29.0,12.0,0.0,6.0,2.0,7
115,115.0,6.0,3.0,9.0,5.0,1.0,14.0,8.0,8.0,74.0,25.0,10.0,4.0,5.0,2.0,7
116,116.0,7.0,2.0,7.0,8.0,4.0,15.0,10.0,9.0,59.0,13.0,11.0,2.0,6.0,2.0,7
117,117.0,8.0,5.0,5.0,5.0,5.0,18.0,5.0,6.0,69.0,29.0,8.0,3.0,7.0,2.0,7
118,118.0,9.0,6.0,6.0,11.0,2.0,6.0,5.0,10.0,59.0,35.0,6.0,2.0,10.0,2.0,7
119,119.0,10.0,4.0,3.0,10.0,3.0,17.0,3.0,11.0,52.0,16.0,8.0,6.0,6.0,2.0,7
120,120.0,11.0,4.0,3.0,16.0,2.0,11.0,7.0,10.0,56.0,20.0,11.0,2.0,8.0,2.0,7
121,121.0,12.0,4.0,5.0,5.0,6.0,10.0,6.0,7.0,69.0,33.0,11.0,5.0,4.0,2.0,7
122,122.0,13.0,4.0,10.0,7.0,6.0,13.0,9.0,8.0,68.0,16.0,15.0,3.0,4.0,2.0,7
123,123.0,14.0,1.0,9.0,5.0,4.0,10.0,8.0,11.0,71.0,32.0,7.0,3.0,5.0,2.0,7
124,124.0,15.0,4.0,2.0,8.0,2.0,10.0,6.0,6.0,56.0,26.0,10.0,6.0,8.0,2.0,7
125,125.0,16.0,2.0,6.0,12.0,2.0,11.0,11.0,9.0,67.0,26.0,7.0,3.0,5.0,2.0,7
126,126.0,17.0,2.0,11.0,11.0,3.0,13.0,8.0,10.0,69.0,22.0,9.0,0.0,5.0,2.0,7
127,127.0,18.0,4.0,6.0,5.0,4.0,18.0,6.0,7.0,73.0,25.0,11.0,3.0,3.0,2.0,7
128,128.0,19.0,4.0,4.0,7.0,0.0,14.0,11.0,6.0,70.0,29.0,6.0,0.0,5.0,2.0,7
129,129.0,20.0,6.0,4.0,10.0,2.0,14.0,5.0,9.0,60.0,29.0,7.0,10.0,2.0,2.0,7
130,130.0,21.0,5.0,10.0,11.0,5.0,14.0,8.0,5.0,65.0,21.0,9.0,1.0,8.0,2.0,7
131,131.0,22.0,4.0,5.0,9.0,5.0,14.0,6.0,6.0,68.0,26.0,11.0,4.0,4.0,2.0,7
132,132.0,23.0,4.0,5.0,12.0,5.0,11.0,11.0,12.0,50.0,19.0,3.0,4.0,4.0,2.0,7
133,133.0,24.0,7.0,7.0,14.0,5.0,10.0,5.0,12.0,45.0,14.0,4.0,6.0,10.0,2.0,7
134,134.0,25.0,1.0,5.0,6.0,3.0,14.0,6.0,8.0,73.0,33.0,12.0,3.0,6.0,2.0,7
135,135.0,26.0,5.0,8.0,8.0,5.0,11.0,13.0,9.0,63.0,21.0,5.0,3.0,7.0,2.0,7
136,136.0,27.0,3.0,7.0,10.0,5.0,9.0,8.0,14.0,60.0,26.0,9.0,1.0,7.0,2.0,7
137,137.0,28.0,2.0,3.0,7.0,2.0,5.0,5.0,3.0,23.0,5.0,4.0,4.0,1.0,2.0,7
